Plant Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Coast Live Oak (Quercus agrifolia),Tree,"25 - 82 ft tall
15 - 35 ft wide",Rounded,"Moderate, Slow",Evergreen,None,"Yellow, Cream, Green","Spring, Winter","A great many birds, mammals, reptiles and invertebrates utilize oak trees and oak woodlands. Oaks are among the most important wildlife plants. The following butterflies use Oaks as host plant: California Sister, Propertius Duskywing, Mournful Duskywing, Golden Hairstreak, and Gold-Hunter's Hairstreak.","California Sister
Adelpha californica

Propertius Duskywing
Erynnis propertius

Mournful Duskywing
Erynnis tristis

Polyphemus moth
Antheraea polyphemus

California Oak Moth
Phryganidia californica

Oak Winter Highflier Moth
Hydriomena nubilofasciata","California Sister
Adelpha californica","Propertius Duskywing
Erynnis propertius","Mournful Duskywing
Erynnis tristis","Polyphemus moth
Antheraea polyphemus","California Oak Moth
Phryganidia californica","Oak Winter Highflier Moth
Hydriomena nubilofasciata",,"Full Sun, Part Shade",Low,Max 1x / month once established,Carried by 69,Very Easy,Tolerates cold to 15° F,Medium,"Tolerates a variety of soils but prefers a deep, well draining loam which it usually develops over time from leaf drop. Soil PH: 4.0 - 8.0","Bank Stabilization, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens","A wide variety of species work as either understory or companion plants with Coast Live Oak, including Coyote Brush; California Buckwheat; Coast Sagebrush; Toyon; California Coffeeberry; Woolly Bluecurls; Snapdragon Penstemon; Fuchsiaflower Gooseberry; California WildRose; Manzanita sp.; Ceanothus sp.; Salvia sp. and annual wildflowers including Poppy sp. and Chinese Houses; in riparian areas in Encinitas: Salix lasiolepis","Oaks are susceptible to several pests and diseases including Gold Spotted Oak Borer and Sudden Oak Death. The best prevention for these maladies is to avoid moving firewood outside the area where it was grown and sterilizing pruning instruments after each use.. Best to prune during July or August, when the trees are not normally growing, and when the dry weather is less likely to support pathogens that may attack the wounds. As much as possible, avoid pruning large limbs as this exposes the tree to possible infection and can take many years to recover. Avoid over-thinning interior branches or ""lion tailing.""","Propagation by acorns is relatively simple. Best acorns sink in water, have a more or less even mix of green, yellow and brown color, and pop out of their caps easily. Plant acorns on their sides, at depth of 1.5x its diameter. Keep moist until germinated and at least 3-4 weeks after the seedling pushes out of the ground.  For propagating by seed: Fresh seeds sow in fall outdoors or stratify to hold for spring sowing. (USDA Forest Service 1974).","Coast live oak occurs in a number of natural settings over a large part of the state, usually below 3,000 ft.. It is often seen in valleys and slopes near (but not in) streams where it is the dominant species in live oak woodland. Chaparral or coastal sage scrub are frequently upslope, with riparian vegetation in the stream. In other areas it is found among numerous other tree species (including other oak spacies) as part of foothill woodland or mixed evergreen forest. It is occasionally found in native grassland savannahs.","Annual Precipitation: 5.7"" - 66.6"", Summer Precipitation: 0.14"" - 3.04"", Coldest Month: 36.8"" - 56.8"", Hottest Month: 58.0"" - 85.4"", Humidity: 0.41"" - 36.26"", Elevation: 2"" - 7280""",Common Names: California Live Oak,
California Fuchsia (Epilobium canum),Perennial herb,"0.25 - 1.5 ft tall
2-3 ft wide",Spreading,Fast,Winter Semi-Deciduous,None,Red,"Summer, Fall",Hummingbirds,"*
White-lined Sphinx
Hyles lineata

*
Black-Banded Carpet
Antepirrhoe semiatrata

*
Elegant Aristotelia Moth
Aristotelia elegantella

*
Yellow-Banded Day Sphinx
Proserpinus flavofasciata

*
Ornate Moth
Utetheisa ornatrix

*
Clark's Day Sphinx Moth
Proserpinus clarkiae","White-lined Sphinx
Hyles lineata","Black-Banded Carpet
Antepirrhoe semiatrata","Elegant Aristotelia Moth
Aristotelia elegantella","Yellow-Banded Day Sphinx
Proserpinus flavofasciata","Ornate Moth
Utetheisa ornatrix","Clark's Day Sphinx Moth
Proserpinus clarkiae",,"Full Sun, Part Shade","Very Low, Low",Max 1x / month once established,Carried by 80,"Very Easy, Moderately Easy",Tolerates cold to 0° F,"Fast, Medium, Slow",Tolerates clay and sand. Tolerates Serpentine Soil. Soil PH: 6.0 - 8.0,"Groundcovers, Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens","Milkweed (Asclepias species), Giant Wild Rye (Elymus condensatus), Sand Aster (Corethrogyne filaginifolia), Sagebrush (Artemisia californica), Monkeyflower (Mimulus species), Encelia californica, Buckwheat (Eriogonum species), Heartleaf Keckiella (Keckiella cordifolia), Penstemon species, Salvia species, Blue-eyed Grass (Sisyrinchium bellum)",Cut or mow to base in fall or early winter to stimulate for new growth. Unwanted rhizomes can be pulled at any time.,Self-seeds readily. Rhizomes can be transplanted in winter or spring.,"This species is found in a number of natural settings over a large part of the state. Near the coast it is found on slopes, bluffs or canyons as part of chaparral or coastal sage scrub. In more inland areas including the Sierras it is found in slightly damper slopes and flats, often near seasonal creeks, often as part of pine or fir forest.","Annual Precipitation: 2.7"" - 124.0"", Summer Precipitation: 0.14"" - 4.46"", Coldest Month: 19.7"" - 59.6"", Hottest Month: 41.1"" - 88.1"", Humidity: 0.28"" - 40.93"", Elevation: -714"" - 12228""","Botanical Names: Zauschneria californica,Zauschneria canum
Common Names: Hummingbird Trumpet",
California Aster (Corethrogyne filaginifolia),Perennial herb,"0.7 - 3.3 ft tall
1 - 6 ft wide","Mounding, Spreading",Fast,Evergreen,None,"Pink, Purple, White","Summer, Fall, Winter",A variety of insects,"Gabb's Checkerspot
Chlosyne gabbii

*
White-lined Sphinx
Hyles lineata

*
Orange Tortrix Moth
Argyrotaenia franciscana

*
Cucullia eccissica

*
Snakeweed Borer
Pelochrista ridingsana

*
Cucullia incresa","Gabb's Checkerspot
Chlosyne gabbii","White-lined Sphinx
Hyles lineata","Orange Tortrix Moth
Argyrotaenia franciscana",Cucullia eccissica,"Snakeweed Borer
Pelochrista ridingsana",Cucullia incresa,"Full Sun, Part Shade",Very Low,"Max 1x / week once established, Never irrigate once established",Carried by 28,Moderately Easy,"Fast, Medium, Slow",Tolerant of sand and clay. Soil PH: 6.0 - 8.0,"Groundcovers, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Buckwheat (Eriogonum species), Bushmallow (Malacothamnus species), Sticky Monkeyflower (Mimulus aurantiacus), Yucca species and cactus species",The spreading varieties may need annual pruning to maintain their shape. Can be deadheaded.,"7*, 8, 9*, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Rocky slopes, coastal bluffs, canyons along the coast, Coast and Transverse Ranges, and foothills of the Sierras, where it occurs along with coastal sage scrub or chaparral, pine and oak woodland in sandy soils","Annual Precipitation: 5.2"" - 103.7"", Summer Precipitation: 0.14"" - 2.83"", Coldest Month: 23.4"" - 57.1"", Hottest Month: 46.2"" - 84.2"", Humidity: 0.04"" - 34.96"", Elevation: -228"" - 10807""","Botanical Names: Lessingia filaginifolia var. californica,Lessingia filaginifolia var. filaginifolia,Lessingia filaginifolia,Corethrogyne filaginifolia var. filaginifolia,Corethrogyne filaginifolia var. linifolia,Corethrogyne filaginifolia var. incana,Corethrogyne leucophylla
Common Names: California Sandaster, Common Sandaster, Del Mar Mesa Sand Aster, Del Mar Mesa Sandaster",,,
Catalina Cherry (Prunus ilicifolia ssp. lyonii),"Tree, Shrub","25 - 40 ft tall
20 ft wide","Upright, Rounded, Upright Columnar","Fast, Moderate",Evergreen,Slight,"White, Cream","Spring, Winter",Birds love the fruit. Insects are attracted to the flowers.,"*
Western Tiger Swallowtail
Papilio rutulus

*
Pale Tiger Swallowtail
Papilio eurymedon

*
Lorquin's Admiral
Limenitis lorquini

*
California Hairstreak
Satyrium californica

*
Two-Tailed Swallowtail
Papilio multicaudata

*
The Brown Elfin
Callophrys augustinus","Western Tiger Swallowtail
Papilio rutulus","Pale Tiger Swallowtail
Papilio eurymedon","Lorquin's Admiral
Limenitis lorquini","California Hairstreak
Satyrium californica","Two-Tailed Swallowtail
Papilio multicaudata","The Brown Elfin
Callophrys augustinus",,"Full Sun, Part Shade",Very Low,Max 2x / month once established,Carried by 38,Moderately Easy,Tolerates cold to 10 - 20° F,"Fast, Medium, Slow",Tolerates a variety of soils. Soil PH: 5.0 - 8.0,"Bank Stabilization, Hedges, Deer Resistant, Bird Gardens, Bee Gardens","Island companion plants include Santa Cruz Island Ironwood (Lyonothamnus floribundus ssp. asplenifolius), Island Live Oak (Quercus tometella), Tree Poppy (Dendromecon harfordii), Island Bristleweed (Hazardia detonsa), Redflower Buckwheat (Eriogonum grande var. rubescens), Island Snapdragon (Gambelia speciosa), and Giant Coreopsis (Leptosyne gigantea). Other chaparral and sage scrub companions include California Encelia (Encelia californica), California Sagebrush (Artemisia californica), Bladderpod (Peritoma arborea), and Ceanothus spp","Said to be resistant to oak root fungus. Gopher are attracted to the roots so remove gophers at the first sign.. Prune to shape while the tree is young, especially if the intent is for a single trunk tree or a hedge.",Seeds or cuttings (bottom heat is said to be helpful),"7, 8, 9, 14*, 15*, 16*, 17*, 18, 19*, 20*, 21*, 22*, 23*, 24*","Slopes, canyons and coastal plains on the Channel Islands and scattered locations on the mainland among chaparral and coastal sage scrub.","Annual Precipitation: 8.6"" - 24.8"", Summer Precipitation: 0.14"" - 0.40"", Coldest Month: 46.3"" - 57.3"", Hottest Month: 62.3"" - 78.0"", Humidity: 1.13"" - 21.72"", Elevation: 0"" - 1789""","Common Names: Hollyleaf Cherry, Island Cherry"
Blue Elderberry (Sambucus mexicana),"Shrub, Tree","20 - 30 ft tall
20 - 30 ft wide",Fountain,Fast,Winter Deciduous,None,"Cream, Yellow, Purple","Spring, Summer",Many bird species . Elderberries are one of the most important source of food for birds in California,"*
White-lined Sphinx
Hyles lineata

*
Polyphemus moth
Antheraea polyphemus

*
Alfalfa Looper Moth
Autographa californica

*
Salt Marsh Moth or Acrea Moth
Estigmene acrea

*
Virginian Tiger Moth
Spilosoma virginica

*
The Small Engrailed
Ectropis crepuscularia","White-lined Sphinx
Hyles lineata","Polyphemus moth
Antheraea polyphemus","Alfalfa Looper Moth
Autographa californica","Salt Marsh Moth or Acrea Moth
Estigmene acrea","Virginian Tiger Moth
Spilosoma virginica","The Small Engrailed
Ectropis crepuscularia",,"Full Shade, Part Shade, Full Sun",Low,Max 1x / month once established,Carried by 68,Tolerates cold to 5° ; F,"Fast, Medium",Tolerates a variety of soils but prefers well-drained soils with moisture. Soil PH: 6.0 - 7.0,"Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","toyon (Heteromeles arbutifolia); Coast Live Oak, White Flowering Currant",Accepts pruning readily .,"Streambanks, slope bottoms, canyons, slightly moister places throughout the state. It occurs in conjunction with a variety of vegetation types including chaparral, sage scrub, grassland, and wetland-riparian.","Annual Precipitation: 4.7"" - 153.6"", Summer Precipitation: 0.15"" - 5.67"", Coldest Month: 24.3"" - 57.2"", Hottest Month: 47.0"" - 80.8"", Humidity: 0.01"" - 31.90"", Elevation: -221"" - 10519""","Botanical Names: Sambucus nigra ssp. caerulea
Common Names: Common Elderberry, Mexican Elderberry",,,
Lemonade Berry (Rhus integrifolia),Shrub,"3 - 30 ft tall
3 - 20 ft wide","Mounding, Rounded","Fast, Moderate",Evergreen,None,"Pink, White","Winter, Spring","Many birds, small mammals and insects","Walter's Silkmoth
Saturnia walterorum

Caloptilia ovatiella

*
White-lined Sphinx
Hyles lineata

*
Ceanothus Silkmoth
Hyalophora euryalus

*
Fruit-Tree Leafroller Moth
Archips argyrospila

*
Common Eupithacia
Eupithecia miserulata","Walter's Silkmoth
Saturnia walterorum",Caloptilia ovatiella,"White-lined Sphinx
Hyles lineata","Ceanothus Silkmoth
Hyalophora euryalus","Fruit-Tree Leafroller Moth
Archips argyrospila","Common Eupithacia
Eupithecia miserulata",,"Part Shade, Full Sun","Extremely Low, Very Low",Max 2x / month once established,Carried by 60,Very Easy,Tolerates cold to 25° F,"Fast, Medium, Slow",Many soil types. Soil PH: 5.0 - 8.0,"Bank Stabilization, Bird Gardens, Deer Resistant, Hedges","Toyon, Scrub Oaks, Chaparral Mallow, Laurel Sumac, California Encelia, California Sagebrush, Yucca spp, various cactus species",Takes pruning very well; may be pruned or sheared as desired at any time of year. May be pruned as a hedge or tree form,"For propagating by seed: Hot water. For maximum germination, soak in concentrated H2S04 for 4-6 hrs., depending on seed batch and age.","8, 9, 14*, 15, 16*, 17*, 19, 20*, 21*, 22*, 23*, 24*","Coastal canyon slopes and flats, foothills","Annual Precipitation: 3.6"" - 39.3"", Summer Precipitation: 0.14"" - 2.72"", Coldest Month: 33.5"" - 59.2"", Hottest Month: 59.0"" - 88.3"", Humidity: 0.83"" - 40.37"", Elevation: -167"" - 7419""",Common Names: Lemonade Sumac
Silver Lupine (Lupinus albifrons),Shrub,"3.2 - 5 ft tall
2 - 3 ft wide","Mounding, Spreading",Fast,Evergreen,Fragrant - Pleasant,"Blue, Lavender, Purple","Winter, Spring, Summer",Very attractive to bees,"Boisduval's Blue
Icaricia icarioides

Arrowhead Blue
Glaucopsyche piasus

Dicymolomia metalliferalis

Syncopacma nigrella

Chionodes braunella

Epinotia infuscana","Boisduval's Blue
Icaricia icarioides","Arrowhead Blue
Glaucopsyche piasus",Dicymolomia metalliferalis,Syncopacma nigrella,Chionodes braunella,Epinotia infuscana,,Full Sun,Very Low,Max 2x / month once established,Carried by 49,Very Easy,Tolerates cold to -10° F,Fast,Occurs in a variety of soils. Soil PH: 6.0 - 8.0,"Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Because this species occurs over such a large part of the state in different habitats, it has many companion plants in the wild. In the garden, plant with other species that prefer fast drainage and moderately dry conditions.",By seed,"Because this species occurs in such diverse parts of the state, it may be found in a number of settings and habitats including chaparral or coastal sage scrub in seaside conditions on coastal terraces, bluffs, canyons or mesas, as well as open areas in coastal or foothill woodlands with evergreen forest","Annual Precipitation: 4.9"" - 130.5"", Summer Precipitation: 0.14"" - 4.08"", Coldest Month: 21.0"" - 56.7"", Hottest Month: 42.0"" - 84.4"", Humidity: 0.08"" - 35.52"", Elevation: -7"" - 12091""",,,
coffeeberry (Frangula californica),Shrub,"6 - 15 ft tall
5 - 15 Feet wide","Mounding, Rounded, Spreading",Moderate,Evergreen,None,"Cream, Green, White","Spring, Summer",Various birds are attracted to the fruits and seeds,"Gray Hairstreak
Strymon melinus

Pale Tiger Swallowtail
Papilio eurymedon

Ceanothus Silkmoth
Hyalophora euryalus

Elegant Sheepmoth
Hemileuca eglanterina

Orange Tortrix Moth
Argyrotaenia franciscana

Clepsis fucana","Gray Hairstreak
Strymon melinus","Pale Tiger Swallowtail
Papilio eurymedon","Ceanothus Silkmoth
Hyalophora euryalus","Elegant Sheepmoth
Hemileuca eglanterina","Orange Tortrix Moth
Argyrotaenia franciscana",Clepsis fucana,,"Full Sun, Part Shade","Low, Very Low",Max 2x / month once established,Carried by 82,Very Easy,Tolerates cold to 10° F,"Fast, Medium","Tolerates a variety of soils, but some subspecies have specific soil affinities. Soil PH: 5.0 - 8.0","Bank Stabilization, Hedges, Groundcovers, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Because the species is found in various habitats throughout the state and is tolerant of garden conditions, it can be combined with a wide variety of trees and shrubs.",Takes pruning well. Upright forms may be pruned to form a hedge.,Seeds or cuttings.  For propagating by seed: Fresh seeds need no treatment; stored seeds 3 mos. stratification.,"This species is found in a wide variety of settings and habitats across the state, including coastal strand, foothill woodland slopes, sage scrub flats, chaparral, evergreen forest in mountain areas, rocky outcrops, sandy areas, stream banks, pinyon-juniper woodland in desert transition, and creosote bush scrub in high desert","Annual Precipitation: 3.5"" - 156.3"", Summer Precipitation: 0.14"" - 5.90"", Coldest Month: 11.6"" - 56.0"", Hottest Month: 34.8"" - 81.9"", Humidity: 0.01"" - 34.79"", Elevation: -261"" - 13935""","Botanical Names: Rhamnus californica
Common Names: California Buckthorn",
Farewell To Spring (Clarkia amoena),Annual herb,1.5 - 3.3 ft tall,Fast,"Lavender, Pink, Purple, Red","Spring, Summer","Bees, butterflies","*
White-lined Sphinx
Hyles lineata

*
Pacific Green Sphinx Moth
Proserpinus lucidus

*
Clark's Day Sphinx Moth
Proserpinus clarkiae

*
Mariposa Forester
Alypia mariposa

*
Aetole extraneella","White-lined Sphinx
Hyles lineata","Pacific Green Sphinx Moth
Proserpinus lucidus","Clark's Day Sphinx Moth
Proserpinus clarkiae","Mariposa Forester
Alypia mariposa",Aetole extraneella,Full Sun,Low,Max 1x / month once established,Carried by 25,Moderately Easy,"Fast, Medium, Slow","Tolerates both sandy and clay soils. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 6.0 - 8.0","Deer Resistant, Butterfly Gardens, Bee Gardens","Mixes well with other annuals, especially blues such as Lupinus species, Baby Blue Eyes (Nemophila menziesii), Globe Gilia (Gilia capitata); Yellows/oranges/golds such as Tidy Tips (Layia playgloss), Western Wallflower (Erysimum capitatum) and California poppy (Eschscholzia californica). Also good with perennial herbs such as Western Columbine (Aquiligia formosa), Phacelia species, and bulbs/corms such as Calochortus species.",Seed germinates readily. Best is sowed in masses or drifts,"Found in various settings in northern California including coastal prairie, northern coastal scrub, spring-moist areas, openings in evergreen forest or oak woodlands, and grasslands","Annual Precipitation: 12.8"" - 115.2"", Summer Precipitation: 0.22"" - 3.29"", Coldest Month: 37.2"" - 53.7"", Hottest Month: 57.6"" - 78.3"", Humidity: 0.01"" - 24.43"", Elevation: 2"" - 6017""","Common Names: Farewell-to-spring, Godetia",,,,,,,,
Giant Wildrye (Elymus condensatus),Grasses,"3 - 6 ft tall
2 - 8 ft wide","Fountain, Weeping",Moderate,Evergreen,None,Brown,Seeds eaten by mammals and birds.,"Mammifrontia rileyi

Apamea cuculliformis

*
Woodland Skipper
Ochlodes sylvanoides

*
Yuma Skipper
Ochlodes yuma

*
Nevada Skipper
Hesperia nevada

*
White-lined Sphinx
Hyles lineata",Mammifrontia rileyi,Apamea cuculliformis,"Woodland Skipper
Ochlodes sylvanoides","Yuma Skipper
Ochlodes yuma","Nevada Skipper
Hesperia nevada","White-lined Sphinx
Hyles lineata",,Full Sun,Very Low,Max 1x / month once established,Carried by 37,Very Easy,Tolerates cold to 15° F,"Fast, Medium, Slow",Tolerant of sand and clay. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0,"Groundcovers, Deer Resistant, Butterfly Gardens","California Encelia, California Sagebrush, Coyotebrush, Oaks, Salvia spp, Eriogonum spp.",Can be pruned back to the ground in summer if it becomes floppy. Remove rhizomes to control spread,Can be propagated from rhizomes cut from the mother plant in Spring.  For propagating by seed: No treatment.,"7*, 8, 9, 10, 11, 12, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Near the coast, in dry slopes, open places as a component of coastal sage scrub or chaparral. In inland valleys and foothill areas it is associated with oak woodlands. It is also found in some high desert areas with Joshua tree woodland","Annual Precipitation: 5.1"" - 50.8"", Summer Precipitation: 0.14"" - 3.40"", Coldest Month: 28.5"" - 56.9"", Hottest Month: 54.9"" - 84.0"", Humidity: 0.04"" - 35.93"", Elevation: -7"" - 7531""","Botanical Names: Leymus condensatus
Common Names: Giant Rye Grass, Giant Wild-rye",
